0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:42 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:42 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:42 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:42 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:42 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:48:56 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:48:56 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:48:57 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:48:57 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:48:57 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:13 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:13 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:13 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:13 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:14 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:45 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:45 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:45 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:45 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:51:46 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:53:35 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:53:35 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:53:35 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:53:35 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:53:36 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:54:39 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:54:39 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:54:39 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:54:39 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:54:39 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:55:58 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:55:58 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1826
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:55:58 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:55:58 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:55:58 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:59:24 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:59:24 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:59:24 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:59:24 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:59:25 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:01:22 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:01:22 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:01:22 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:01:22 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:01:22 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:02:31 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3690
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:02:31 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:02:31 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:02:31 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:12:02:32 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:26:50 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:27:08 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:27:08 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:27:08 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:27:08 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:27:08 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:18 +0900] "GET /LearnJapanese/Menu.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:18 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:20 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:40 +0900] "GET /LearnJapanese/Menu.jsp HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:40 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:43 +0900] "GET /LearnJapanese/Goi.jsp HTTP/1.1" 200 5209
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:43 +0900] "GET /LearnJapanese/css/Goi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:15:42:43 +0900] "GET /LearnJapanese/js/Goi.js HTTP/1.1" 304 -
